ts_iso,symbol,agg_age_s,kline_age_s,agg_msgs,kline_msgs,bars_finalized,open_positions,mode,testnet
2025-12-17T10:46:09.874Z,XRPUSDT,1.731,9.875,194,3,33,0,paper,1
2025-12-17T10:46:09.874Z,DOGEUSDT,1.758,9.875,170,3,32,0,paper,1
2025-12-17T10:46:14.878Z,BTCUSDT,3.333,14.879,208,3,34,0,paper,1
2025-12-17T10:46:14.878Z,ETHUSDT,1.947,14.879,251,3,33,0,paper,1
2025-12-17T10:46:14.878Z,SOLUSDT,2.437,14.879,156,3,33,0,paper,1
2025-12-17T10:46:14.878Z,XRPUSDT,1.355,14.879,201,3,34,0,paper,1
2025-12-17T10:46:14.878Z,DOGEUSDT,1.281,14.879,174,3,33,0,paper,1
2025-12-17T10:46:19.897Z,BTCUSDT,4.099,19.898,214,3,35,0,paper,1
2025-12-17T10:46:19.897Z,ETHUSDT,2.811,19.898,255,3,34,0,paper,1
2025-12-17T10:46:19.897Z,SOLUSDT,3.368,19.898,159,3,34,0,paper,1
2025-12-17T10:46:19.897Z,XRPUSDT,2.034,19.898,206,3,35,0,paper,1
2025-12-17T10:46:19.897Z,DOGEUSDT,1.923,19.898,179,3,34,0,paper,1
2025-12-17T10:46:24.918Z,BTCUSDT,2.413,24.919,222,3,36,0,paper,1
2025-12-17T10:46:24.918Z,ETHUSDT,3.187,24.919,258,3,35,0,paper,1
2025-12-17T10:46:24.918Z,SOLUSDT,3.64,24.919,164,3,35,0,paper,1
2025-12-17T10:46:24.918Z,XRPUSDT,2.993,24.919,208,3,36,0,paper,1
2025-12-17T10:46:24.918Z,DOGEUSDT,2.298,24.919,181,3,35,0,paper,1
2025-12-17T10:46:29.946Z,BTCUSDT,3.517,29.947,229,3,37,0,paper,1
2025-12-17T10:46:29.946Z,ETHUSDT,4.637,29.947,262,3,36,0,paper,1
2025-12-17T10:46:29.946Z,SOLUSDT,2.708,29.947,169,3,36,0,paper,1
2025-12-17T10:46:29.946Z,XRPUSDT,2.711,29.947,213,3,37,0,paper,1
2025-12-17T10:46:29.946Z,DOGEUSDT,3.414,29.947,185,3,36,0,paper,1
2025-12-17T10:46:34.981Z,BTCUSDT,2.85,34.982,244,3,38,0,paper,1
2025-12-17T10:46:34.981Z,ETHUSDT,3.119,34.982,268,3,37,0,paper,1
2025-12-17T10:46:34.981Z,SOLUSDT,3.416,34.982,173,3,37,0,paper,1
2025-12-17T10:46:34.981Z,XRPUSDT,2.871,34.982,215,3,38,0,paper,1
2025-12-17T10:46:34.981Z,DOGEUSDT,2.871,34.982,193,3,37,0,paper,1
2025-12-17T10:46:40.001Z,BTCUSDT,3.504,40.002,249,3,39,0,paper,1
2025-12-17T10:46:40.001Z,ETHUSDT,3.883,40.002,272,3,38,0,paper,1
2025-12-17T10:46:40.001Z,SOLUSDT,4.355,40.002,176,3,38,0,paper,1
2025-12-17T10:46:40.001Z,XRPUSDT,3.173,40.002,219,3,39,0,paper,1
2025-12-17T10:46:40.001Z,DOGEUSDT,4.508,40.002,196,3,38,0,paper,1
2025-12-17T10:46:45.030Z,BTCUSDT,3.875,45.031,254,3,40,0,paper,1
2025-12-17T10:46:45.030Z,ETHUSDT,3.795,45.031,276,3,39,0,paper,1
2025-12-17T10:46:45.030Z,SOLUSDT,2.723,45.031,180,3,39,0,paper,1
2025-12-17T10:46:45.030Z,XRPUSDT,4.713,45.031,222,3,40,0,paper,1
2025-12-17T10:46:45.030Z,DOGEUSDT,2.76,45.031,200,3,39,0,paper,1
2025-12-17T10:46:50.057Z,BTCUSDT,3.938,50.058,263,3,41,0,paper,1
2025-12-17T10:46:50.057Z,ETHUSDT,4.129,50.058,281,3,40,0,paper,1
2025-12-17T10:46:50.057Z,SOLUSDT,3.067,50.058,184,3,40,0,paper,1
2025-12-17T10:46:50.057Z,XRPUSDT,2.968,50.058,226,3,41,0,paper,1
2025-12-17T10:46:50.057Z,DOGEUSDT,2.472,50.058,216,3,40,0,paper,1
2025-12-17T10:46:55.043Z,BTCUSDT,2.8,55.044,310,3,42,0,paper,1
2025-12-17T10:46:55.043Z,ETHUSDT,4.246,55.044,284,3,41,0,paper,1
2025-12-17T10:46:55.043Z,SOLUSDT,2.923,55.044,188,3,41,0,paper,1
2025-12-17T10:46:55.043Z,XRPUSDT,5.07,55.044,235,3,41,0,paper,1
2025-12-17T10:46:55.043Z,DOGEUSDT,3.078,55.044,219,3,41,0,paper,1
2025-12-17T10:47:00.059Z,BTCUSDT,3.149,60.06,421,3,43,0,paper,1
2025-12-17T10:47:00.059Z,ETHUSDT,3.207,60.06,322,3,42,0,paper,1
2025-12-17T10:47:00.059Z,SOLUSDT,2.498,60.06,193,3,42,0,paper,1
2025-12-17T10:47:00.059Z,XRPUSDT,2.394,60.06,244,3,43,0,paper,1
2025-12-17T10:47:00.059Z,DOGEUSDT,2.807,60.06,239,3,42,0,paper,1
2025-12-17T10:47:05.083Z,BTCUSDT,2.389,5.084,445,4,44,0,paper,1
2025-12-17T10:47:05.083Z,ETHUSDT,2.505,5.084,328,4,43,0,paper,1
2025-12-17T10:47:05.083Z,SOLUSDT,1.779,5.084,198,4,43,0,paper,1
2025-12-17T10:47:05.083Z,XRPUSDT,3.369,5.084,268,4,44,0,paper,1
2025-12-17T10:47:05.083Z,DOGEUSDT,2.362,5.084,244,4,43,0,paper,1
2025-12-17T10:47:10.104Z,BTCUSDT,2.03,10.105,453,4,45,0,paper,1
2025-12-17T10:47:10.104Z,ETHUSDT,1.91,10.105,335,4,44,0,paper,1
2025-12-17T10:47:10.104Z,SOLUSDT,1.454,10.105,206,4,44,0,paper,1
2025-12-17T10:47:10.104Z,XRPUSDT,3.063,10.105,273,4,45,0,paper,1
2025-12-17T10:47:10.104Z,DOGEUSDT,1.661,10.105,247,4,44,0,paper,1
2025-12-17T10:47:15.120Z,BTCUSDT,1.444,15.121,460,4,46,0,paper,1
2025-12-17T10:47:15.120Z,ETHUSDT,3.01,15.121,339,4,45,0,paper,1
2025-12-17T10:47:15.120Z,SOLUSDT,2.315,15.121,211,4,45,0,paper,1
2025-12-17T10:47:15.120Z,XRPUSDT,3.662,15.121,276,4,46,0,paper,1
2025-12-17T10:47:15.120Z,DOGEUSDT,1.723,15.121,251,4,45,0,paper,1
2025-12-17T10:47:20.142Z,BTCUSDT,2.676,20.143,464,4,47,0,paper,1
2025-12-17T10:47:20.142Z,ETHUSDT,3.94,20.143,340,4,46,0,paper,1
2025-12-17T10:47:20.142Z,SOLUSDT,2.11,20.143,214,4,46,0,paper,1
2025-12-17T10:47:20.142Z,XRPUSDT,5.495,20.143,279,4,46,0,paper,1
2025-12-17T10:47:20.142Z,DOGEUSDT,2.278,20.143,252,4,46,0,paper,1
2025-12-17T10:47:25.174Z,BTCUSDT,2.874,25.175,472,4,48,0,paper,1
2025-12-17T10:47:25.174Z,ETHUSDT,3.22,25.175,345,4,47,0,paper,1
2025-12-17T10:47:25.174Z,SOLUSDT,2.655,25.175,218,4,47,0,paper,1
2025-12-17T10:47:25.174Z,XRPUSDT,1.594,25.175,285,4,48,0,paper,1
2025-12-17T10:47:25.174Z,DOGEUSDT,1.995,25.175,257,4,47,0,paper,1
2025-12-17T10:47:30.211Z,BTCUSDT,3.993,30.212,475,4,49,0,paper,1
2025-12-17T10:47:30.211Z,ETHUSDT,4.532,30.212,347,4,48,0,paper,1
2025-12-17T10:47:30.211Z,SOLUSDT,4.875,30.212,222,4,48,0,paper,1
2025-12-17T10:47:30.211Z,XRPUSDT,3.019,30.212,286,4,49,0,paper,1
2025-12-17T10:47:30.211Z,DOGEUSDT,3.449,30.212,259,4,48,0,paper,1
2025-12-17T10:47:35.242Z,BTCUSDT,3.205,35.243,486,4,50,0,paper,1
2025-12-17T10:47:35.242Z,ETHUSDT,3.747,35.243,351,4,49,0,paper,1
2025-12-17T10:47:35.242Z,SOLUSDT,3.079,35.243,225,4,49,0,paper,1
2025-12-17T10:47:35.242Z,XRPUSDT,3.18,35.243,294,4,50,0,paper,1
2025-12-17T10:47:35.242Z,DOGEUSDT,3.799,35.243,265,4,49,0,paper,1
2025-12-17T10:47:40.262Z,BTCUSDT,3.571,40.263,495,4,51,0,paper,1
2025-12-17T10:47:40.262Z,ETHUSDT,4.172,40.263,356,4,50,0,paper,1
2025-12-17T10:47:40.262Z,SOLUSDT,3.233,40.263,230,4,50,0,paper,1
2025-12-17T10:47:40.262Z,XRPUSDT,3.733,40.263,298,4,51,0,paper,1
2025-12-17T10:47:40.262Z,DOGEUSDT,3.885,40.263,269,4,50,0,paper,1
2025-12-17T10:47:45.254Z,BTCUSDT,2.776,45.255,501,4,52,0,paper,1
2025-12-17T10:47:45.254Z,ETHUSDT,3.699,45.255,360,4,51,0,paper,1
2025-12-17T10:47:45.254Z,SOLUSDT,4.087,45.255,234,4,51,0,paper,1
2025-12-17T10:47:45.254Z,XRPUSDT,3.891,45.255,301,4,52,0,paper,1
2025-12-17T10:47:45.254Z,DOGEUSDT,4.626,45.255,272,4,51,0,paper,1
2025-12-17T10:47:50.276Z,BTCUSDT,3.168,50.277,505,4,53,0,paper,1
2025-12-17T10:47:50.276Z,ETHUSDT,3.934,50.277,363,4,52,0,paper,1
2025-12-17T10:47:50.276Z,SOLUSDT,2.884,50.277,239,4,52,0,paper,1
2025-12-17T10:47:50.276Z,XRPUSDT,2.997,50.277,305,4,53,0,paper,1
2025-12-17T10:47:50.276Z,DOGEUSDT,5.033,50.277,275,4,52,0,paper,1
2025-12-17T10:47:55.283Z,BTCUSDT,2.526,55.284,565,4,54,0,paper,1
2025-12-17T10:47:55.283Z,ETHUSDT,4.183,55.284,367,4,53,0,paper,1
2025-12-17T10:47:55.283Z,SOLUSDT,2.706,55.284,243,4,53,0,paper,1
2025-12-17T10:47:55.283Z,XRPUSDT,4.788,55.284,309,4,54,0,paper,1
2025-12-17T10:47:55.283Z,DOGEUSDT,2.717,55.284,281,4,53,0,paper,1
2025-12-17T10:48:00.298Z,BTCUSDT,3.754,60.299,595,4,55,0,paper,1
2025-12-17T10:48:00.298Z,ETHUSDT,2.538,60.299,373,4,54,0,paper,1
2025-12-17T10:48:00.298Z,SOLUSDT,2.742,60.299,248,4,54,0,paper,1
2025-12-17T10:48:00.298Z,XRPUSDT,3.098,60.299,313,4,55,0,paper,1
2025-12-17T10:48:00.298Z,DOGEUSDT,2.764,60.299,285,4,54,0,paper,1
