ts_iso,symbol,action,direction,qty,price,status,details
2025-12-17T13:31:11.741Z,XRPUSDT,OPEN,LONG,13.100000000000001,1.9082,paper_open,"{'status': 'paper_open', 'symbol': 'XRPUSDT', 'direction': 'LONG', 'qty': 13.100000000000001, 'mark_price': 1.9082, 'stop': 1.9043}"
2025-12-17T13:36:17.212Z,XRPUSDT,TIME_EXIT,LONG,13.100000000000001,1.9098,paper_close,
2025-12-17T13:36:21.948Z,BTCUSDT,OPEN,SHORT,,87138.09822464,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T13:43:53.011Z,ETHUSDT,OPEN,SHORT,0.008,2927.76594961,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2927.76594961, 'stop': 2933.62}"
2025-12-17T13:48:57.820Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2944.7,paper_close,
2025-12-17T13:49:37.090Z,ETHUSDT,OPEN,SHORT,0.008,2941.57,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2941.57, 'stop': 2947.45}"
2025-12-17T13:54:42.239Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2937.57,paper_close,
2025-12-17T13:58:07.092Z,BTCUSDT,OPEN,SHORT,,87594.2,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:00:02.549Z,BTCUSDT,OPEN,SHORT,,87601.49699275,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:01:41.629Z,BTCUSDT,OPEN,SHORT,,87597.14677866,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:01:47.066Z,ETHUSDT,OPEN,SHORT,0.008,2942.79356237,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2942.79356237, 'stop': 2948.67}"
2025-12-17T14:06:47.489Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2942.04,paper_close,
2025-12-17T14:07:18.228Z,BTCUSDT,OPEN,SHORT,,87495.95009058,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:11:22.119Z,BTCUSDT,OPEN,SHORT,,87571.7,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:14:28.496Z,BTCUSDT,OPEN,SHORT,,87569.67746377,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:18:57.346Z,ETHUSDT,OPEN,SHORT,0.008,2945.09,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'SHORT', 'qty': 0.008, 'mark_price': 2945.09, 'stop': 2950.98}"
2025-12-17T14:24:02.628Z,ETHUSDT,TIME_EXIT,SHORT,0.008,2945.38,paper_close,
2025-12-17T14:24:32.881Z,BTCUSDT,OPEN,SHORT,,87751.34715415,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:32:11.944Z,BTCUSDT,OPEN,SHORT,,87745.53822464,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T14:37:06.265Z,ETHUSDT,OPEN,LONG,0.008,2930.01930233,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'LONG', 'qty': 0.008, 'mark_price': 2930.01930233, 'stop': 2924.15}"
2025-12-17T14:42:08.335Z,ETHUSDT,TIME_EXIT,LONG,0.008,2925.59,paper_close,
2025-12-17T14:42:54.106Z,ETHUSDT,OPEN,LONG,0.008,2925.98,paper_open,"{'status': 'paper_open', 'symbol': 'ETHUSDT', 'direction': 'LONG', 'qty': 0.008, 'mark_price': 2925.98, 'stop': 2920.12}"
2025-12-17T17:05:22.948Z,ETHUSDT,TIME_EXIT,LONG,0.008,2895.62,paper_close,
2025-12-17T17:40:41.701Z,BTCUSDT,OPEN,LONG,,86567.2,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T17:46:42.486Z,XRPUSDT,OPEN,LONG,13.3,1.8741,paper_open,"{'status': 'paper_open', 'symbol': 'XRPUSDT', 'direction': 'LONG', 'qty': 13.3, 'mark_price': 1.8741, 'stop': 1.8703}"
2025-12-17T17:51:44.051Z,XRPUSDT,TIME_EXIT,LONG,13.3,1.8757,paper_close,
2025-12-17T20:07:17.313Z,BTCUSDT,OPEN,LONG,,85736.9,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T20:15:21.972Z,BTCUSDT,OPEN,LONG,,85746.9,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T20:30:32.651Z,DOGEUSDT,OPEN,SHORT,195.0,0.12757,paper_open,"{'status': 'paper_open', 'symbol': 'DOGEUSDT', 'direction': 'SHORT', 'qty': 195.0, 'mark_price': 0.12757, 'stop': 0.12782}"
2025-12-17T20:35:37.596Z,DOGEUSDT,TIME_EXIT,SHORT,195.0,0.12706,paper_close,
2025-12-17T20:48:42.139Z,BTCUSDT,OPEN,SHORT,,86061.97719203,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T20:50:27.573Z,BTCUSDT,OPEN,SHORT,,86059.36530797,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T20:51:54.386Z,BTCUSDT,OPEN,SHORT,,85990.08833992,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
2025-12-17T20:53:52.487Z,BTCUSDT,OPEN,SHORT,,85962.71620553,skip,"{'status': 'skip', 'reason': 'qty<0.001'}"
