ts_iso,symbol,bar_start_ms,bar_open,bar_high,bar_low,bar_close,delta_tick,delta_z,trades,donchian_high,donchian_low,touch_low,touch_high,signal,reason
2025-12-17T01:52:15.000Z,ETHUSDT,1765936335000,2956.04,2956.23,2956.04,2956.23,-3,0.0,5,2971.57,2943.93,0,0,,warmup
2025-12-17T01:52:15.000Z,XRPUSDT,1765936335000,1.9261,1.9261,1.9261,1.9261,-2,0.0,2,1.9387,1.9186,0,0,,warmup
2025-12-17T01:52:15.000Z,BTCUSDT,1765936335000,87608.6,87681.8,87608.6,87681.8,-2,0.0,6,87886.0,87393.0,0,0,,warmup
2025-12-17T01:52:15.000Z,DOGEUSDT,1765936335000,0.13191,0.13191,0.1319,0.1319,-3,0.0,3,0.13231,0.13106,0,0,,warmup
2025-12-17T01:52:15.000Z,SOLUSDT,1765936335000,129.1,129.1,129.1,129.1,-3,0.0,3,129.6,123.0,0,0,,warmup
2025-12-17T01:52:20.000Z,BTCUSDT,1765936340000,87681.8,87681.8,87608.6,87681.8,-1,0.0,9,87886.0,87393.0,0,0,,warmup
2025-12-17T01:52:20.000Z,ETHUSDT,1765936340000,2956.23,2956.23,2956.22,2956.22,-2,0.0,4,2971.57,2943.93,0,0,,warmup
2025-12-17T01:52:20.000Z,XRPUSDT,1765936340000,1.9261,1.9261,1.9261,1.9261,-6,0.0,6,1.9387,1.9186,0,0,,warmup
2025-12-17T01:52:20.000Z,SOLUSDT,1765936340000,129.1,129.1,129.1,129.1,-5,0.0,5,129.6,123.0,0,0,,warmup
2025-12-17T01:52:20.000Z,DOGEUSDT,1765936340000,0.1319,0.1319,0.1319,0.1319,-3,0.0,3,0.13231,0.13106,0,0,,warmup
2025-12-17T01:52:25.000Z,DOGEUSDT,1765936345000,0.1319,0.1319,0.1319,0.1319,-2,0.0,2,0.13231,0.13106,0,0,,warmup
2025-12-17T01:52:25.000Z,ETHUSDT,1765936345000,2956.22,2956.23,2956.06,2956.23,-2,0.0,4,2971.57,2943.93,0,0,,warmup
2025-12-17T01:52:25.000Z,SOLUSDT,1765936345000,129.1,129.11,129.1,129.1,-4,0.0,6,129.6,123.0,0,0,,warmup
2025-12-17T01:52:25.000Z,XRPUSDT,1765936345000,1.9261,1.9261,1.9261,1.9261,-4,0.0,4,1.9387,1.9186,0,0,,warmup
2025-12-17T01:52:25.000Z,BTCUSDT,1765936345000,87681.8,87681.8,87608.6,87608.6,-4,0.0,8,87886.0,87393.0,0,0,,warmup
2025-12-17T01:52:30.000Z,ETHUSDT,1765936350000,2956.23,2956.23,2956.04,2956.04,-5,0.0,5,2971.57,2943.93,0,0,,warmup
